TIME + ID,,,,INPUTS,,,,,,OUTPUTS,,,,,
LineNr,ID,Time scheduled [hh::mm],,Rotor speed [% rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Shell [-],,Time measured  [hh::mm],Rotor speed [rpm],Side slip [deg],V_inflow [m/s],AOA [deg],Defl. Angle [deg]
130,30-15-30-4-S,9:34,,30,15,30,4,S,,,,,,,
131,30-15-30-6-S,9:35,,30,15,30,6,S,,,,,,,
132,30-15-30-8-S,9:35,,30,15,30,8,S,,,,,,,
133,30-15-30-10-S,9:36,,30,15,30,10,S,,,,,,,
134,30-15-30-12-S,9:36,,30,15,30,12,S,,,,,,,
135,30-15-30-16-S,9:37,,30,15,30,16,S,,,,,,,
136,30-15-30-20-S,9:37,,30,15,30,20,S,,,,,,,
137,40-15-30-0-S,9:38,,40,15,30,0,S,,,,,,,
138,40-15-30-4-S,9:38,,40,15,30,4,S,,,,,,,
139,40-15-30-6-S,9:39,,40,15,30,6,S,,,,,,,
140,40-15-30-8-S,9:39,,40,15,30,8,S,,,,,,,
141,40-15-30-10-S,9:40,,40,15,30,10,S,,,,,,,
142,40-15-30-12-S,9:40,,40,15,30,12,S,,,,,,,
143,40-15-30-16-S,9:41,,40,15,30,16,S,,,,,,,
144,40-15-30-20-S,9:41,,40,15,30,20,S,,,,,,,
145,20-0-5-0-C,10:45,,20,0,5,0,C,,,,,,,
146,20-0-5-4-C,10:45,,20,0,5,4,C,,,,,,,
147,20-0-5-6-C,10:46,,20,0,5,6,C,,,,,,,
148,20-0-5-8-C,10:46,,20,0,5,8,C,,,,,,,
149,20-0-5-10-C,10:47,,20,0,5,10,C,,,,,,,
150,20-0-5-12-C,10:47,,20,0,5,12,C,,,,,,,
151,20-0-5-16-C,10:48,,20,0,5,16,C,,,,,,,
152,20-0-5-20-C,10:48,,20,0,5,20,C,,,,,,,
153,30-0-5-0-C,10:49,,30,0,5,0,C,,,,,,,
154,30-0-5-4-C,10:49,,30,0,5,4,C,,,,,,,
155,30-0-5-6-C,10:50,,30,0,5,6,C,,,,,,,
156,30-0-5-8-C,10:50,,30,0,5,8,C,,,,,,,
157,30-0-5-10-C,10:51,,30,0,5,10,C,,,,,,,
158,30-0-5-12-C,10:51,,30,0,5,12,C,,,,,,,
159,30-0-5-16-C,10:52,,30,0,5,16,C,,,,,,,
160,30-0-5-20-C,10:52,,30,0,5,20,C,,,,,,,
161,40-0-5-0-C,10:53,,40,0,5,0,C,,,,,,,
162,40-0-5-4-C,10:53,,40,0,5,4,C,,,,,,,
163,40-0-5-6-C,10:54,,40,0,5,6,C,,,,,,,
164,40-0-5-8-C,10:54,,40,0,5,8,C,,,,,,,
165,40-0-5-10-C,10:55,,40,0,5,10,C,,,,,,,
166,40-0-5-12-C,10:55,,40,0,5,12,C,,,,,,,
167,40-0-5-16-C,10:56,,40,0,5,16,C,,,,,,,
168,40-0-5-20-C,10:56,,40,0,5,20,C,,,,,,,
169,20-0-10-0-C,10:57,,20,0,10,0,C,,,,,,,
170,20-0-10-4-C,10:57,,20,0,10,4,C,,,,,,,
171,20-0-10-6-C,10:58,,20,0,10,6,C,,,,,,,
172,20-0-10-8-C,10:58,,20,0,10,8,C,,,,,,,
173,20-0-10-10-C,10:59,,20,0,10,10,C,,,,,,,
174,20-0-10-12-C,10:59,,20,0,10,12,C,,,,,,,
175,20-0-10-16-C,11:00,,20,0,10,16,C,,,,,,,
176,20-0-10-20-C,11:00,,20,0,10,20,C,,,,,,,
177,30-0-10-0-C,11:01,,30,0,10,0,C,,,,,,,
178,30-0-10-4-C,11:01,,30,0,10,4,C,,,,,,,
179,30-0-10-6-C,11:02,,30,0,10,6,C,,,,,,,
180,30-0-10-8-C,11:02,,30,0,10,8,C,,,,,,,
181,30-0-10-10-C,11:03,,30,0,10,10,C,,,,,,,
182,30-0-10-12-C,11:03,,30,0,10,12,C,,,,,,,
183,30-0-10-16-C,11:04,,30,0,10,16,C,,,,,,,
184,30-0-10-20-C,11:04,,30,0,10,20,C,,,,,,,
185,40-0-10-0-C,11:05,,40,0,10,0,C,,,,,,,
186,40-0-10-4-C,11:05,,40,0,10,4,C,,,,,,,
187,40-0-10-6-C,11:06,,40,0,10,6,C,,,,,,,
188,40-0-10-8-C,11:06,,40,0,10,8,C,,,,,,,
189,40-0-10-10-C,11:07,,40,0,10,10,C,,,,,,,
190,40-0-10-12-C,11:07,,40,0,10,12,C,,,,,,,
191,40-0-10-16-C,11:08,,40,0,10,16,C,,,,,,,
192,40-0-10-20-C,11:08,,40,0,10,20,C,,,,,,,
193,20-0-15-0-C,11:09,,20,0,15,0,C,,,,,,,
194,20-0-15-4-C,11:09,,20,0,15,4,C,,,,,,,
195,20-0-15-6-C,11:10,,20,0,15,6,C,,,,,,,
196,20-0-15-8-C,11:10,,20,0,15,8,C,,,,,,,
197,20-0-15-10-C,11:11,,20,0,15,10,C,,,,,,,
198,20-0-15-12-C,11:11,,20,0,15,12,C,,,,,,,
199,20-0-15-16-C,11:12,,20,0,15,16,C,,,,,,,
200,20-0-15-20-C,11:12,,20,0,15,20,C,,,,,,,
201,30-0-15-0-C,11:13,,30,0,15,0,C,,,,,,,
202,30-0-15-4-C,11:13,,30,0,15,4,C,,,,,,,
203,30-0-15-6-C,11:14,,30,0,15,6,C,,,,,,,
204,30-0-15-8-C,11:14,,30,0,15,8,C,,,,,,,
205,30-0-15-10-C,11:15,,30,0,15,10,C,,,,,,,
206,30-0-15-12-C,11:15,,30,0,15,12,C,,,,,,,
207,30-0-15-16-C,11:16,,30,0,15,16,C,,,,,,,
208,30-0-15-20-C,11:16,,30,0,15,20,C,,,,,,,
209,40-0-15-0-C,11:17,,40,0,15,0,C,,,,,,,
210,40-0-15-4-C,11:17,,40,0,15,4,C,,,,,,,
211,40-0-15-6-C,11:18,,40,0,15,6,C,,,,,,,
212,40-0-15-8-C,11:18,,40,0,15,8,C,,,,,,,
213,40-0-15-10-C,11:19,,40,0,15,10,C,,,,,,,
214,40-0-15-12-C,11:19,,40,0,15,12,C,,,,,,,
215,40-0-15-16-C,11:20,,40,0,15,16,C,,,,,,,
216,40-0-15-20-C,11:20,,40,0,15,20,C,,,,,,,
217,20-0-20-0-C,11:21,,20,0,20,0,C,,,,,,,
218,20-0-20-4-C,11:21,,20,0,20,4,C,,,,,,,
219,20-0-20-6-C,11:22,,20,0,20,6,C,,,,,,,
220,20-0-20-8-C,11:22,,20,0,20,8,C,,,,,,,
221,20-0-20-10-C,11:23,,20,0,20,10,C,,,,,,,
222,20-0-20-12-C,11:23,,20,0,20,12,C,,,,,,,
223,20-0-20-16-C,11:24,,20,0,20,16,C,,,,,,,
224,20-0-20-20-C,11:24,,20,0,20,20,C,,,,,,,
225,30-0-20-0-C,11:25,,30,0,20,0,C,,,,,,,
