t1552933326.47 U19.0824764329 I-93.575 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.58 U19.0683514261 I-93.5715 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.69 U19.1022671612 I-93.5821 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.79 U19.11043291 I-93.5997 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933326.9 U19.1024764329 I-93.575 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933327.01 U19.0694671612 I-93.5821 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933327.12 U19.0871171749 I-93.5891 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933327.23 U19.0790421818 I-93.5926 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933327.34 U19.1121671886 I-93.5961 T_a13.812 T_p-9.0963359111 R0.407144818947, 
t1552933327.45 U19.0743264192 I-93.568 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933327.56 U19.0807014398 I-93.5785 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933327.67 U19.1121671886 I-93.5961 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933327.77 U19.0948421818 I-93.5926 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933327.88 U19.1107421818 I-93.5926 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933327.99 U19.0563264192 I-93.568 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.1 U19.0841514261 I-93.5715 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.21 U19.0673671612 I-93.5821 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.31 U19.0888671886 I-93.5961 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.43 U19.060392168 I-93.5856 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.53 U19.0770579168 I-93.6032 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.64 U19.0751671886 I-93.5961 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.75 U19.0695421818 I-93.5926 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.86 U19.0759579168 I-93.6032 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933328.97 U19.0596014398 I-93.5785 T_a13.812 T_p-8.44314152461 R0.407144818947, 
t1552933329.08 U19.077292168 I-93.5856 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.19 U19.0684671612 I-93.5821 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.29 U19.0829171749 I-93.5891 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.41 U19.0338014123 I-93.5645 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.52 U19.0546514261 I-93.5715 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.63 U19.086792168 I-93.5856 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.73 U19.0586171749 I-93.5891 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.84 U19.0801421818 I-93.5926 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933329.95 U19.0463421818 I-93.5926 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933330.06 U19.0543014398 I-93.5785 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933330.17 U19.0649014398 I-93.5785 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933330.28 U19.0395014398 I-93.5785 T_a13.812 T_p-8.09054798429 R0.407144818947, 
t1552933341.59 U18.407715557 I-100.7745 T_a13.812 T_p-7.43511060173 R0.407144818947, 
t1552933428.12 U24.036 I-0.1337 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933438.14 U24.5365 I8.3958 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933448.16 U24.5935 I8.3958 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933458.18 U24.6199 I8.3923 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933468.2 U24.6706 I8.3993 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933478.22 U24.7118 I8.4064 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933488.24 U24.7297 I8.3993 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933498.26 U24.7593 I8.3923 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933508.28 U24.7688 I8.4064 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933518.3 U24.7931 I8.3993 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933528.32 U24.8015 I8.4064 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933538.34 U24.8132 I8.3958 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933548.36 U24.847 I8.4029 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933558.38 U24.8871 I8.3958 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933568.41 U24.9093 I8.3993 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552933578.43 U24.9304 I8.4029 T_aOutdated temperature measurement T_pOutdated ROutdated temperature measurement, 
t1552934203.98 U24.4721 I8.3923 T_a13.812 T_p33.9576801366 R13.812, 
t1552934214.0 U24.9293 I8.4064 T_a13.812 T_p33.9078906616 R13.812, 
t1552934224.03 U24.9578 I8.3993 T_a13.812 T_p34.0573338954 R13.812, 
t1552934234.04 U24.98 I8.3958 T_a13.812 T_p34.032389247 R13.812, 
t1552934244.06 U25.0032 I8.4029 T_a13.812 T_p33.9265679177 R13.812, 
t1552934254.08 U24.9969 I8.4134 T_a13.812 T_p33.9701150708 R13.812, 
t1552934264.1 U25.0001 I8.4064 T_a13.812 T_p33.9887923843 R13.812, 
t1552934274.12 U25.0254 I8.4029 T_a13.812 T_p34.1009870372 R13.812, 
t1552934284.14 U25.018 I8.4099 T_a13.812 T_p34.0261530921 R13.812, 
t1552934294.16 U25.0254 I8.4029 T_a13.812 T_p34.0074696116 R13.812, 
t1552934304.18 U25.0148 I8.3993 T_a13.812 T_p34.0510852052 R13.812, 
t1552934314.2 U25.0465 I8.4064 T_a13.812 T_p33.9950035839 R13.812, 
t1552934324.22 U25.0465 I8.4029 T_a13.812 T_p34.0074758361 R13.812, 
t1552934334.24 U25.0529 I8.4029 T_a13.812 T_p33.9701150708 R13.812, 
t1552934344.26 U25.0592 I8.4029 T_a13.812 T_p34.0386191486 R13.812, 
t1552934354.28 U25.0698 I8.4029 T_a13.812 T_p34.032389247 R13.812, 
t1552934364.3 U25.0645 I8.4064 T_a13.812 T_p34.08849591 R13.812, 
t1552934374.32 U25.1035 I8.4064 T_a13.812 T_p34.0074820893 R13.812, 
t1552934384.34 U25.1046 I8.4099 T_a13.812 T_p34.0137119909 R13.812, 
t1552934394.36 U25.0909 I8.4064 T_a13.812 T_p34.0697874165 R13.812, 
t1552934404.38 U25.0835 I8.4099 T_a13.812 T_p34.1821262987 R13.812, 
t1552934414.4 U25.1014 I8.4029 T_a13.812 T_p34.0760173182 R13.812, 
