t1553596996.06 U19.8491167266 I-80.9813 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.17 U19.8481167266 I-80.9813 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.28 U19.8635667403 I-80.9883 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.38 U19.8545324617 I-80.9919 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.49 U19.8731824754 I-80.9989 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.6 U19.8445917197 I-80.9778 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.71 U19.8354167266 I-80.9813 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.82 U19.8692167266 I-80.9813 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596996.92 U19.8474417334 I-80.9848 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.03 U19.8784824754 I-80.9989 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.14 U19.8438167266 I-80.9813 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.25 U19.8421417334 I-80.9848 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.36 U19.8402917197 I-80.9778 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.46 U19.8672324617 I-80.9919 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.57 U19.8488824754 I-80.9989 T_a14.312 T_p17.0593696067 R0.407144818947, 
t1553596997.68 U19.8699667403 I-80.9883 T_a14.312 T_p17.3473326892 R0.407144818947, 
t1553596997.79 U19.8455917197 I-80.9778 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596997.9 U19.8601574685 I-80.9954 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.01 U19.8738574685 I-80.9954 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.11 U19.8295574685 I-80.9954 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.22 U19.8587324617 I-80.9919 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.33 U19.8592917197 I-80.9778 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.44 U19.8431417334 I-80.9848 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.54 U19.8693074823 I-81.0024 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.65 U19.8414824754 I-80.9989 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.76 U19.8523167266 I-80.9813 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.87 U19.8259167266 I-80.9813 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596998.98 U19.8577324617 I-80.9919 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596999.08 U19.8582917197 I-80.9778 T_a14.375 T_p17.3473326892 R0.407144818947, 
t1553596999.19 U19.8263574685 I-80.9954 T_a14.375 T_p17.5767165628 R0.407144818947, 
t1553596999.3 U19.8608324617 I-80.9919 T_a14.375 T_p17.5767165628 R0.407144818947, 
t1553596999.41 U19.8146667128 I-80.9743 T_a14.375 T_p17.5767165628 R0.407144818947, 
t1553596999.52 U19.8400417334 I-80.9848 T_a14.375 T_p17.5767165628 R0.407144818947, 
t1553596999.62 U19.8371667403 I-80.9883 T_a14.375 T_p17.5767165628 R0.407144818947, 
t1553596999.73 U19.8210574685 I-80.9954 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553596999.84 U19.8251667128 I-80.9743 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553596999.95 U19.8233917197 I-80.9778 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.06 U19.8224667403 I-80.9883 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.16 U19.8326417334 I-80.9848 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.27 U19.8411574685 I-80.9954 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.38 U19.8445667403 I-80.9883 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.49 U19.8228324617 I-80.9919 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.6 U19.8210417334 I-80.9848 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.7 U19.8513324617 I-80.9919 T_a14.312 T_p17.5767165628 R0.407144818947, 
t1553597000.81 U19.8298667403 I-80.9883 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597000.92 U19.8221574685 I-80.9954 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.03 U19.8132167266 I-80.9813 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.14 U19.8136417334 I-80.9848 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.24 U19.8488667403 I-80.9883 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.35 U19.8231417334 I-80.9848 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.46 U19.8383824754 I-80.9989 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.57 U19.8460324617 I-80.9919 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.68 U19.8336417334 I-80.9848 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.78 U19.8167417334 I-80.9848 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597001.89 U19.8429074823 I-81.0024 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597002.0 U19.8178417334 I-80.9848 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597002.12 U19.8478824754 I-80.9989 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597002.22 U19.8457824754 I-80.9989 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597002.33 U19.7854667403 I-80.9883 T_a14.312 T_p17.9289722998 R0.407144818947, 
t1553597002.44 U19.8573824754 I-80.9989 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597002.55 U19.8428167266 I-80.9813 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597002.66 U19.8386167266 I-80.9813 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597002.76 U19.8436824754 I-80.9989 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597002.87 U19.8182824754 I-80.9989 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597002.98 U19.8464574685 I-80.9954 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597003.09 U19.8065667403 I-80.9883 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597003.2 U19.8219667128 I-80.9743 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597003.31 U19.8298667403 I-80.9883 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597003.41 U19.8523167266 I-80.9813 T_a14.312 T_p18.4311217111 R0.407144818947, 
t1553597003.52 U19.8150667403 I-80.9883 T_a14.375 T_p18.4311217111 R0.407144818947, 
t1553597003.63 U19.8276667403 I-80.9883 T_a14.375 T_p18.4311217111 R0.407144818947, 
t1553597003.74 U19.8333167266 I-80.9813 T_a14.375 T_p18.4311217111 R0.407144818947, 
t1553597003.84 U19.8302324617 I-80.9919 T_a14.375 T_p18.4311217111 R0.407144818947, 
t1553597003.95 U19.8196324617 I-80.9919 T_a14.375 T_p18.4311217111 R0.407144818947, 
t1553597004.06 U19.8146417334 I-80.9848 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.17 U19.8308667403 I-80.9883 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.28 U19.8160917197 I-80.9778 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.38 U19.8291167266 I-80.9813 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.49 U19.8408324617 I-80.9919 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.6 U19.8408324617 I-80.9919 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.71 U19.7971824754 I-80.9989 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.82 U19.7998417334 I-80.9848 T_a14.375 T_p18.8322346757 R0.407144818947, 
t1553597004.92 U19.8319667403 I-80.9883 T_a14.375 T_p18.8322346757 R0.407144818947, 
