t1549213347.76 U0.0 I0.0 T_a-103 T_p-103.0 R0, Charging started: manual charge
t1550658510.57 U23.0667 I8.4029 T_a13.625 T_p16.2438967074 R13.625, 
t1550658520.59 U23.0403 I8.3993 T_a13.625 T_p16.2652117274 R13.625, 
t1550658530.61 U23.0677 I8.4029 T_a13.625 T_p16.2758691525 R13.625, 
t1550658540.63 U23.0962 I8.4064 T_a13.625 T_p16.3877756028 R13.625, 
t1550658550.65 U23.0857 I8.4029 T_a13.625 T_p16.5796279793 R13.625, 
t1550658560.66 U23.1005 I8.3958 T_a13.625 T_p16.5849581757 R13.625, 
t1550658570.68 U23.1279 I8.3923 T_a13.625 T_p16.5263332116 R13.625, 
t1550658580.7 U23.1364 I8.3993 T_a13.625 T_p16.5689688849 R13.625, 
t1550658590.72 U23.1131 I8.3958 T_a13.625 T_p16.7128697185 R13.625, 
t1550658600.74 U23.1596 I8.3993 T_a13.625 T_p16.8514572583 R13.625, 
t1550658610.76 U23.1279 I8.3993 T_a13.625 T_p16.6542425757 R13.625, 
t1550658620.78 U23.1765 I8.3958 T_a13.625 T_p16.7182006247 R13.625, 
t1550658630.8 U23.1723 I8.3958 T_a13.625 T_p16.9527413733 R13.625, 
t1550658640.82 U23.1786 I8.4064 T_a13.625 T_p17.0220478019 R13.625, 
t1550658650.84 U23.1775 I8.3958 T_a13.625 T_p17.1446811484 R13.625, 
t1550658660.87 U23.1797 I8.3993 T_a13.625 T_p17.1233512385 R13.625, 
t1550658670.89 U23.2177 I8.3958 T_a13.625 T_p17.2673311501 R13.625, 
t1550658680.9 U23.2008 I8.3993 T_a13.625 T_p17.2459982345 R13.625, 
t1550658690.92 U23.2134 I8.3958 T_a13.625 T_p17.3419996717 R13.625, 
t1550658700.95 U23.2282 I8.3993 T_a13.625 T_p17.2619965888 R13.625, 
t1550658710.97 U23.2451 I8.3993 T_a13.625 T_p17.2993321165 R13.625, 
t1550658720.99 U23.2377 I8.3993 T_a13.625 T_p17.2779960804 R13.625, 
t1550658731.01 U23.2493 I8.3993 T_a13.625 T_p17.400671124 R13.625, 
t1550658741.03 U23.281 I8.3993 T_a13.625 T_p17.5447032988 R13.625, 
t1550658751.06 U23.2842 I8.3993 T_a13.625 T_p17.5340353135 R13.625, 
t1550658761.07 U23.2842 I8.3993 T_a13.625 T_p17.5713804546 R13.625, 
t1550658771.09 U23.319 I8.4029 T_a13.625 T_p17.5820536312 R13.625, 
t1550658781.11 U23.3085 I8.4099 T_a13.625 T_p17.7688301826 R13.625, 
t1550658791.13 U23.3211 I8.3923 T_a13.625 T_p17.7795017637 R13.625, 
t1550658801.15 U23.3507 I8.4029 T_a13.625 T_p17.7368057191 R13.625, 
t1550658811.17 U23.3486 I8.4064 T_a13.625 T_p17.827545265 R13.625, 
t1550658821.19 U23.3539 I8.3993 T_a13.625 T_p18.0517916257 R13.625, 
t1550658831.21 U23.3581 I8.4099 T_a13.625 T_p18.0838309074 R13.625, 
t1550658841.23 U23.3919 I8.4029 T_a13.625 T_p18.0090678985 R13.625, 
