t1550845680.02 U20.893556225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.13 U20.875556225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.23 U20.9020312456 I-71.9978 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.34 U20.887156225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.45 U20.8978312456 I-71.9978 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.56 U20.8911062387 I-71.9943 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.67 U20.8821654968 I-71.9802 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.78 U20.898856225 I-71.9873 T_a14.5 T_p15.7163563615 R0.407144818947, 
t1550845680.88 U20.9101062387 I-71.9943 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845680.99 U20.8981812318 I-71.9908 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.1 U20.877656225 I-71.9873 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.21 U20.9091062387 I-71.9943 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.32 U20.8767312456 I-71.9978 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.42 U20.8607404899 I-71.9767 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.53 U20.9017062387 I-71.9943 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.64 U20.9066969669 I-72.0014 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.75 U20.8769812318 I-71.9908 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.86 U20.854456225 I-71.9873 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845681.96 U20.8833812318 I-71.9908 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845682.07 U20.8710062387 I-71.9943 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845682.18 U20.8904312456 I-71.9978 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845682.29 U20.8922062387 I-71.9943 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845682.4 U20.8611812318 I-71.9908 T_a14.5 T_p15.9295066226 R0.407144818947, 
t1550845682.5 U20.8875812318 I-71.9908 T_a14.5 T_p16.1692948382 R0.407144818947, 
t1550845682.61 U20.8848062387 I-71.9943 T_a14.5 T_p16.1692948382 R0.407144818947, 
