t7.43589782715 U25.0026 I0.7104
t7.45602583885 U24.993 I0.7968
t7.4757668972 U25.001 I0.8112
t7.49594283104 U25.0106 I0.7752
t7.51601982117 U25.001 I0.8256
t7.53577494621 U25.0074 I0.7224
t7.55589485168 U24.9962 I0.84
t7.57601594925 U24.9946 I0.7584
t7.59576296806 U25.0026 I0.7104
t7.61589479446 U25.0026 I0.876
t7.6360309124 U25.0058 I0.7392
t7.65577697754 U25.0042 I0.8616
t7.67590999603 U24.9994 I0.7872
t7.69601798058 U25.0138 I0.7968
t7.71580600739 U25.0026 I0.768
t7.73589682579 U25.0042 I0.6936
t7.75597691536 U24.993 I0.8064
t7.77576494217 U24.9946 I0.7488
t7.79590296745 U25.0154 I0.672
t7.81606388092 U25.0042 I0.8712
t7.83577179909 U25.0042 I0.7224
t7.85590100288 U25.0138 I0.8184
t7.87597489357 U24.9994 I0.8064
t7.89577198029 U25.0058 I0.7368
t7.91590285301 U24.9962 I0.8664
t7.935972929 U25.0042 I0.7248
t7.95576381683 U25.0122 I0.72
t7.97590684891 U24.9978 I0.7752
t7.99601984024 U25.0138 I0.732
t8.01582884789 U25.0042 I0.852
t8.0359108448 U25.0058 I0.6984
t8.05597090721 U25.0106 I0.756
t8.07576799393 U24.9994 I0.792
t8.09590196609 U25.0026 I0.7368
t8.11597180367 U24.9946 I0.8208
t8.13602495193 U25.0026 I0.6984
t8.15589880943 U24.9962 I0.7176
t8.17602777481 U24.9978 I0.7584
t8.19577383995 U24.9978 I0.768
t8.21590995789 U25.001 I0.8976
t8.23596787453 U25.0042 I0.6984
t8.25576686859 U25.0186 I0.7536
t8.27589488029 U25.0026 I0.792
t8.2960088253 U25.001 I0.6744
t8.31577396393 U24.9946 I0.7704
t8.33591294289 U25.0026 I0.732
t8.35602092743 U25.0138 I0.7128
t8.37576985359 U24.9978 I0.7776
t8.39589500427 U25.0058 I0.7056
t8.41601085663 U24.9978 I0.756
t8.46782279015 U24.9978 I0.7776
t8.48859381676 U25.0106 I0.7008
t8.5117828846 U24.9962 I0.9096
t8.53178286552 U24.9978 I0.756
t8.55188584328 U25.009 I0.672
t8.57188987732 U24.9946 I0.7824
t8.59189891815 U24.9962 I0.744
t8.61189079285 U24.9946 I0.7152
t8.63189983368 U25.001 I0.852
t8.65195083618 U25.0074 I0.7032
t8.67190289497 U25.0122 I0.7416
t8.69190597534 U24.9994 I0.8808
t8.71190500259 U25.001 I0.72
t8.73188495636 U25.0074 I0.7008
t8.7518889904 U25.0026 I0.8928
t8.77258586884 U24.9978 I0.7992
t8.79189896584 U25.009 I0.7008
