LineNumber,ID,RPM,angle ,,,"LineNumber, ID, Timestamp(Unix), RPM, Power, Deflection"
446,12-17.5-73-20,73,20,,,
447,12-17.5-73-25,73,25,,,
448,12-17.5-73-30,73,30,,,
449,12-17.5-75-0,75,0,,,
450,12-17.5-75-5,75,5,,,
451,12-17.5-75-10,75,10,,,
452,12-17.5-75-15,75,15,,,
453,12-17.5-75-20,75,20,,,
454,12-17.5-75-25,75,25,,,
455,12-17.5-75-30,75,30,,,
456,15-5-71-0,71,0,,,
457,15-5-71-5,71,5,,,
458,15-5-71-10,71,10,,,
459,15-5-71-15,71,15,,,
460,15-5-71-20,71,20,,,
461,15-5-71-25,71,25,,,
462,15-5-71-30,71,30,,,
463,15-5-75-0,75,0,,,
464,15-5-75-5,75,5,,,
465,15-5-75-10,75,10,,,
466,15-5-75-15,75,15,,,
467,15-5-75-20,75,20,,,
468,15-5-75-25,75,25,,,
469,,75,30,,,
470,,71,0,,,
471,,71,5,,,
472,,71,10,,,
473,,71,15,,,
474,15-10-71-20,71,20,,,
475,15-10-71-25,71,25,,,
476,15-10-71-30,71,30,,,
477,15-10-72-0,72,0,,,
478,15-10-72-5,72,5,,,
479,15-10-72-10,72,10,,,
480,15-10-72-15,72,15,,,
481,15-10-72-20,72,20,,,
482,15-10-72-25,72,25,,,
483,15-10-72-30,72,30,,,
484,15-10-73-0,73,0,,,
485,15-10-73-5,73,5,,,
486,15-10-73-10,73,10,,,
487,15-10-73-15,73,15,,,
488,15-10-73-20,73,20,,,
489,15-10-73-25,73,25,,,
490,15-10-73-30,73,30,,,
491,15-10-74-0,74,0,,,
492,15-10-74-5,74,5,,,
493,15-10-74-10,74,10,,,
494,15-10-74-15,74,15,,,
495,15-10-74-20,74,20,,,
496,15-10-74-25,74,25,,,
497,15-10-74-30,74,30,,,
498,15-10-75-0,75,0,,,
499,15-10-75-5,75,5,,,
500,15-10-75-10,75,10,,,
501,15-10-75-15,75,15,,,
502,15-10-75-20,75,20,,,
503,15-10-75-25,75,25,,,
504,15-10-75-30,75,30,,,
505,15-15-71-0,71,0,,,
506,15-15-71-5,71,5,,,
507,15-15-71-10,71,10,,,
508,15-15-71-15,71,15,,,
509,15-15-71-20,71,20,,,
510,15-15-71-25,71,25,,,
511,15-15-71-30,71,30,,,
512,15-15-72-0,72,0,,,
